# L4: 誤検知除外パターン
# フォーマット: トリガーワード\t除外正規表現
# 1つのトリガーワードに対して複数行で除外パターンを定義可能。
# 新しい除外パターンを追加するには末尾に1行追加するだけでOK。
#
# トリガーワード	除外正規表現
おし	狂おし
おし	教おし
おし	推おし
おし	おしい
おし	おして
おし	おした
おし	おしゃれ
おし	おしまい
おし	おしえ
おし	おしゃべり
おし	おしぼり
おし	うっとおし
ホモ	ホモ・サピエンス
レズ	プレゼ
めくら	めくらまし
ハゲ	ハゲしい
ハゲ	ハゲます
ハゲ	剥げ
ハゲ	激しい
禿	禿頭(?!を|が|の|は)
カス	カステラ
カス	カスタム
カス	カスタマー
カス	カスケード
カス	ポンカス
カス	フロカス
カス	ブリカス
カス	フラカス
カス	アメカス
カス	スカスカ
カス	ダマスカス
ゴミ	ゴミ箱
無能	無能力者
支那	支那そば
支那	支那料理
殺す活用	必殺
殺す活用	殺到
殺す活用	殺風景
殺す活用	殺気
殺す活用	相殺
殺す活用	抹殺
殺し〜	必殺
殺し〜	殺到
殺し〜	殺風景
殺し〜	殺気
殺し〜	相殺
殺し〜	抹殺
殺され	必殺
殺され	殺到
殺され	殺風景
殺され	殺気
殺され	相殺
殺され	抹殺
#
# ── 死関連の誤検知除外（複合語として許容するパターン）──
# トリガー「__DEATH__」は死関連エントリ専用の特殊キー
__DEATH__	必死
__DEATH__	決死
__DEATH__	九死
__DEATH__	瀕死
__DEATH__	致死
__DEATH__	生死
__DEATH__	起死
__DEATH__	活死
__DEATH__	死角
__DEATH__	死力
__DEATH__	死中
__DEATH__	死地
__DEATH__	死後の世界
__DEATH__	死語
__DEATH__	死線
__DEATH__	死球
__DEATH__	死蔵
__DEATH__	死海
__DEATH__	死活
#
# ── ひらがな・カタカナ表記の誤検知除外 ──
# 「シヌ」「しぬ」が別の用語の一部として出現するケース
シヌ	シヌクレイン
しぬ	シヌクレイン
シネ	シネマ
シネ	シネコン
しね	しねま
# 「ころす」のひらがな/カタカナが一般語に含まれるケース
ころし	おこころざし
# 「はげ」が一般語に含まれるケース
はげ	はげしい
はげ	はげます
はげ	はげみ
# 「くそ」が一般語に含まれるケース
くそ	くそう(?!〜)
# 「ごみ」が一般語に含まれるケース
ごみ	ごみんなさい
# 「くず」が一般語に含まれるケース
くず	くずれ
くず	くずし字
くず	くずもち
# 「かす」が一般語に含まれるケース
かす	かすか
かす	かすみ
かす	かすが
かす	おかす(?!行為)
# 「ばか」が一般語に含まれるケース
ばか	ばかり
# 「あほ」が一般語に含まれるケース
あほ	あほう鳥
# 「ほも」が一般語に含まれるケース
ほも	ほもの
ほも	ホモ・サピエンス
# 「むのう」が一般語に含まれるケース
むのう	むのうやく
