# L1: NGワード直接マッチ辞書
# フォーマット: カテゴリ\t単語\t重大度\tタイプ(plain|regex)
# タイプ plain = 単純文字列マッチ（自動でre.escape）、regex = 正規表現パターン
# 行頭 # はコメント。空行は無視。
# 新しい単語を追加するには、このファイルの該当カテゴリの末尾に1行追加するだけでOK。
#
# カテゴリ	単語/パターン	重大度	タイプ
#
# ── ヘイト/民族蔑称 ──
ヘイト/民族	チョン	🔴	plain
ヘイト/民族	支那人	🔴	plain
ヘイト/民族	支那	🔴	plain
ヘイト/民族	土人	🔴	plain
ヘイト/民族	ニガー	🔴	plain
ヘイト/民族	三国人	🔴	plain
ヘイト/民族	不逞鮮人	🔴	plain
ヘイト/民族	鮮人	🔴	plain
ヘイト/民族	劣等民族	🔴	plain
ヘイト/民族	蛮族	🔴	plain
ヘイト/民族	未開人	🔴	plain
ヘイト/民族	原住民	🔴	plain
ヘイト/民族	毛唐	🔴	plain
ヘイト/民族	鬼畜米英	🔴	plain
#
# ── 障害者差別 ──
障害者差別	めくら	🔴	plain
障害者差別	メクラ	🔴	plain
障害者差別	つんぼ	🔴	plain
障害者差別	ツンボ	🔴	plain
障害者差別	びっこ	🔴	plain
障害者差別	ビッコ	🔴	plain
障害者差別	かたわ	🔴	plain
障害者差別	カタワ	🔴	plain
障害者差別	片輪	🔴	plain
障害者差別	ガイジ	🔴	plain
障害者差別	がいじ	🔴	plain
障害者差別	池沼	🔴	plain
障害者差別	キチガイ	🔴	plain
障害者差別	きちがい	🔴	plain
障害者差別	気違い	🔴	plain
障害者差別	基地外	🔴	plain
障害者差別	知障	🔴	plain
障害者差別	身障	🔴	plain
障害者差別	聾唖	🔴	plain
障害者差別	精神異常者	🔴	plain
#
# ── 性差別 ──
性差別	ま〜ん	🔴	plain
性差別	マンさん	🔴	plain
性差別	肉便器	🔴	plain
性差別	ヤリマン	🔴	plain
性差別	ビッチ	🔴	plain
性差別	淫売	🔴	plain
性差別	売女	🔴	plain
#
# ── LGBTQ差別 ──
LGBTQ差別	ホモ	🟡	plain
LGBTQ差別	ほも	🟡	plain
LGBTQ差別	オカマ	🟡	plain
LGBTQ差別	おかま	🟡	plain
LGBTQ差別	おなべ	🟡	plain
LGBTQ差別	オナベ	🟡	plain
LGBTQ差別	レズ	🟡	plain
LGBTQ差別	れず	🟡	plain
#
# ── 侮辱/罵倒 🔴 ──
侮辱/罵倒	クソ	🔴	plain
侮辱/罵倒	くそ	🔴	plain
侮辱/罵倒	くっそ	🔴	plain
侮辱/罵倒	クッソ	🔴	plain
侮辱/罵倒	糞	🔴	plain
侮辱/罵倒	ゴミ	🔴	plain
侮辱/罵倒	ごみ	🔴	plain
侮辱/罵倒	クズ	🔴	plain
侮辱/罵倒	くず	🔴	plain
侮辱/罵倒	カス	🔴	plain
侮辱/罵倒	かす	🔴	plain
侮辱/罵倒	ボンクラ	🔴	plain
侮辱/罵倒	ぼんくら	🔴	plain
侮辱/罵倒	外道	🔴	plain
侮辱/罵倒	げどう	🔴	plain
侮辱/罵倒	ゲドウ	🔴	plain
侮辱/罵倒	畜生	🔴	plain
