登場人物,セリフ,備考,番号
解説者,"平将門と聞くと、
「朝廷に反旗を翻した武将」「日本三大怨霊の一人」
そんな物騒なイメージを持つ人も多いだろう。",冒頭,1
解説者,"だが、彼が反乱を起こしてから1000年以上が経った今もなお、
東京・大手町の一等地のど真ん中に首塚が残り、
触れようとした者たちが次々と謎の形で命を落としているとしたら——。",冒頭,2
解説者,"大蔵省も、GHQも、挑んで返り討ちに遭った相手が、
この将門の首塚だった。
果たして、将門の怒りはいまだ鎮まっていないのだろうか。",冒頭,3
解説者,"今回は、平将門についての議論を繰り広げる、
2ちゃんねるの歴史オタクたちを見ていこう。",冒頭,4
解説者,"この動画を見れば、
平将門がなぜ1000年以上祟り続けているのかが
きっとわかるだろう。",冒頭,5
スレタイ,【悲報】平将門「反乱起こしたら処刑されました」←こいつが怨霊になってる理由,スレ①,1
男性A大,逆恨み,スレ①,2
女性B,"崇徳天皇とかはそら可哀想やなと思うけど、
こいつは自業自得やん",スレ①,3
男性C,残りの崇徳天皇、菅原道真はまあ同情できるけどさ,スレ①,4
女性D,"怨霊になるのは別におかしくないやん
鎮魂のために祠とか建ててるのはテロに屈したみたいでおかしいけど",スレ①,5
男性E,"成仏させずに御礼にさせた方が
反乱起こしずらくなるしな",スレ①,6
男性A,"あの大手町の塚の祟りって未だにあるんかね？
もう令和の時代やで",スレ①,7
女性B下,ないよ、改修工事してたし,スレ①,8
男性C下,あるぞ,スレ①,9
女性D,"人間逆恨みの方が強いって事や
正論で恨み忘れるならそも祟り神になんかからんやろ",スレ①,10
男性E,味方に裏切られたからね,スレ①,11
男性A,"戦国時代とか怨霊になりそうな奴ゴロゴロおるのに
なんでならなかったんや",スレ①,12
女性B下,祀られないからや,スレ①,13
男性C下,バーゲンセールやったからね、しょうがないね,スレ①,14
女性D,"そら天ちゃんサイドの理屈では反乱者やけど
こっちは正当やと思ってたんやろし",スレ①,15
男性E,そもそもなんで大怨霊な扱いなんやろ,スレ①,16
男性A,学問の神？って違うやつか？,スレ①,17
女性B下,"それは菅原道真や
日本三大怨霊の一人やな",スレ①,18
男性C,"「からだからだ…」言いながら首が体を探して
彷徨ってたらあそこに落ちたんや
これが「神田」の由来って説もある",スレ①,19
女性D,"崇徳院「都に帰りたいなぁ帰りたいなぁ…」
京都「ダメだぞ」
西行「来世にワンチャン賭けよう」
崇徳院「お経書いたわ…せめてこれだけでもワイの代わりに都に置いてクレメンス」
京都「…なんか呪われそうだからダメだぞ」",スレ①,20
男性E下,源平の争乱は崇徳の呪いってことになってるから最凶の怨霊や,スレ①,21
男性A,菅原道真とごっちゃになる,スレ①,22
女性B下,"道真は全然ちゃうやろ
処刑とかされてないし
道真の霊が将門に乗り移って謀反やらせたみたいな
逸話はあるけど",スレ①,23
男性C,首切るのはやりすぎや,スレ①,24
女性D,左が将門の娘でデカい髑髏を呼び出したという風潮,スレ①,25
男性E,"神田明神に皇族の方が参拝しても
何事もなかったからセーフって話好き",スレ①,26
男性A,あー呪われたわ,スレ①,27
解説者,"日本三大怨霊とは、
菅原道真・崇徳天皇・平将門の三人を指す。",解説：日本三大怨霊,1
解説者,"菅原道真は藤原時平に讒言されて大宰府に左遷され、
903年に没した。没後、都に雷が落ち続けたとして
北野天満宮に祀られ、今は学問の神として知られる。",解説：日本三大怨霊,2
解説者,"崇徳天皇は保元の乱で敗れ讃岐に流された後、
怨みを込めて写経した経典の奉納すら拒否されて無念のうちに没した。
源平の争乱は崇徳の祟りとされた。",解説：日本三大怨霊,3
解説者,"そして将門は——胴体から離れた後も
「からだからだ…」と叫びながら飛んで関東に落ちたという伝説が残り、
1000年以上たった今も首塚は東京のど真ん中に鎮座している。",解説：日本三大怨霊,4
男性C,"実績は大した事無いけど
斬られた首飛ばせる奴なんて中々居らんぞ",スレ①,28
女性D下,"蘇我入鹿も首だけ飛んで
今でも明日香の田んぼの中に首塚あるな",スレ①,29
男性E,勝手に怨霊にされたンゴ…,スレ①,30
スレタイ,平将門「天皇倒して新皇になるぞ」←コイツがイマイチ人気ない理由,スレ①,31
男性A大,"現在の首都関東地方の人物だし
日本人好みの夢叶わず討たれてるのに
なんで人気ないんや？",スレ①,32
女性B,首浮遊人間,スレ①,33
男性C下,ネタとしても有能,スレ①,34
女性D,"簒奪文化は日本にないからな
続きすぎて簒奪が絶対悪に見えちゃうから
海外文化圏なら英雄扱いになってたやろけど",スレ①,35
男性E,"華が無いから
一方同じく天皇を倒そうとした
第六天魔王信長は大人気",スレ①,36
男性A下,"信長が天皇を倒す？
ありえないわ、どの文献？",スレ①,37
女性B下,「どの文献？」ってこれから使わせてもらうわｗｗｗｗ,スレ①,38
男性C下,"証拠の無い妄想を言う奴には
的確にダメージが与えられる",スレ①,39
女性D,"信長と比べるのは将門に失礼やろ
将門はガチで独立国家作ろうとしてたんやから",スレ①,40
男性E,"未だに首塚が大手町の一等地に残ってる
伝説の御仁",スレ①,41
男性E,"もっと良エピあったけど逆族なので
意図的に消された歴史もあるやも知れぬ",スレ①,42
男性A,"周りの同僚が仕事せずに汚職ばっかりしてたから
懲らしめて仕事奪ったら本社が懲罰与えてきた
怒って独立宣言したら本社からエース送り込まれて潰された",スレ①,43
男性C,"クーデター起こそうと息巻いたけど
秋の収穫期でやむなく兵士を一時解散したところを攻撃されて
鎮圧されちゃった
やはり戦争は補給",スレ①,44
女性D,藤原純友の方が凄かったから,スレ①,45
男性E,"祟りのエピソードが有名すぎて
気安くネタにできないからな",スレ①,46
男性A,"言われてみれば将門の呪いって
反幕府の思想を潰すにはうってつけだったな",スレ①,47
解説者,"承平天慶の乱とは、
939年から941年にかけて起きた
平安時代中期の大反乱である。",解説：承平天慶の乱,1
