登場人物,セリフ,備考,番号
解説者,"崇徳天皇と聞くと、
保元の乱に敗れて讃岐に流された悲運の天皇、
あるいは日本史上もっとも恐ろしい呪いを残した存在、
そんなイメージを持つ人も多いだろう。
死してなお都を呪い、
天皇家に祟りをなしたと語り継がれる、
まさに闇に包まれた帝である。",冒頭,1
解説者,"その名は、
平将門、
菅原道真と並んで、
日本三大怨霊の一柱として今なお畏れられている。
配流先の讃岐で、
自らの血で五部大乗経を写し、
我は日本国の大魔縁となり、
皇を取って民とし民を皇となさんと書き記したという伝説は、
あまりにも有名だ。",冒頭,2
解説者,"しかし、
崇徳天皇とは本当にそれほどまでに恐ろしい怨霊だったのだろうか。
そもそも一人の天皇が、
なぜ国家を呪うほどの怨念を抱くに至ったのか。
その背景には、
父に疎まれ、
弟に皇位を奪われ、
戦に敗れて遠い島へ追いやられるという、
あまりにも過酷な生涯があった。",冒頭,3
解説者,"実際、
崇徳の死からおよそ七百年後の明治の世になっても、
その祟りは恐れられ続けた。
明治天皇はわざわざ勅使を讃岐へ送り、
その魂を都へ迎え、
白峯神宮を創建してまで鎮魂を図ったという。
これほど長きにわたって畏れられた怨霊は、
日本の歴史を見渡してもそうはいない。
崇徳は本当に、
日本最大の怨霊となったのだろうか。",冒頭,4
解説者,"今回は、
崇徳天皇の怨霊伝説と、
その波乱の生涯について議論を繰り広げる、
2ちゃんねるの歴史オタクたちを見ていこう。
彼らが史料と伝説のはざまで、
いったいどんな答えにたどり着くのか。",冒頭,5
解説者,"この動画を見れば、
なぜ崇徳天皇が日本三大怨霊と呼ばれるようになったのか、
そして一人の帝がたどった悲劇の真相が、
きっとわかるだろう。",冒頭,6
男性A,"日本三大怨霊で一番ガチでヤバいの崇徳天皇説、
異論あるか?",スレ①,1
女性B下,道真と将門ちゃうんか,スレ①,2>>1
男性C下,いや崇徳が頭一つ抜けてる,スレ①,3>>2
女性D下,スケールがちゃうねん崇徳は,スレ①,4>>3
男性E,なんでなん,スレ①,5
男性A,わかる,スレ①,6
女性B,マ?,スレ①,7
男性C下,道真も将門も十分こわいやろ,スレ①,8>>1
女性D,てか崇徳って誰や,スレ①,9
男性E下,教養なくて草,スレ①,10>>9
男性A下,"崇徳天皇な。
保元の乱で負けて讃岐に流された上皇やで。
それが怨霊になったって話や",スレ①,11>>9
女性B,上皇が島流しとか地味にヤバない?,スレ①,12
男性C下,それな,スレ①,13>>12
女性D,天皇クラスが流されるの古代以来って話やぞ,スレ①,14
