登場人物,セリフ,備考,番号
解説者,"明智光秀と聞くと、
主君である織田信長を裏切り、
本能寺で討ち取った謀反人。
あるいは、
わずか十数日で天下を失った三日天下の男。
そんなイメージを持つ人も多いだろう。",冒頭,1
解説者,"だが、
その人物像は今も多くの謎に包まれている。
光秀は生まれた年すらはっきりせず、
信長に仕える前半生は記録が乏しく、
長く謎とされてきた。
やがて織田家中で頭角を現し、
近江坂本や丹波を任される有力な家臣にまで上り詰めた、
教養豊かな知将であったことが分かっている。",冒頭,2
解説者,"そんな光秀が、
天正十年六月二日、
京都の本能寺に宿泊していた信長を突如として襲い、
これを討ち取る。
日本史上最大の謎ともいわれる本能寺の変である。
だが、
なぜ光秀は主君を討ったのか、
その動機は今なお分かっていない。",冒頭,3
解説者,"怨恨説、
野望説、
朝廷黒幕説に、
足利義昭や羽柴秀吉、
徳川家康を背後に見る説。
さらには、
山崎の戦いで秀吉に敗れて落ち延びる途中に討たれたとされる光秀が、
実は生き延びて天海となったという生存説まで、
その死後の伝説は今なお人々の想像をかき立てている。",冒頭,4
解説者,"今回は、
本能寺の変の謎と、
明智光秀の生涯について議論を繰り広げる、
2ちゃんねるの歴史オタクたちを見ていこう。",冒頭,5
解説者,"この動画を見れば、
本能寺の変に隠された謎と、
謀反人と呼ばれた明智光秀の知られざる実像が、
きっとわかるだろう。",冒頭,6
男性A,"明智光秀さん、
ガチで本能寺の黒幕おったん?あいつ単独でやれる胆力なかったやろ",スレ①,1
女性B下,出たwまた黒幕説か,スレ①,2>>1
男性C,諸説あるやろ,スレ①,3
女性D下,"単独説派ワイ、
低みの見物",スレ①,4>>1
男性E下,"朝廷黒幕説推すわ。
信長が暦のことで朝廷に圧かけてたの無視できんやろ",スレ①,5>>1
男性A,ソースは?,スレ①,6
女性B,で?結局誰が裏で糸引いてたんや,スレ①,7
男性C,"知識ニキ来てくれ。
毎回ここで止まるねん",スレ①,8
女性D大,"本能寺な、
1582年6月2日や。
光秀が信長を京の本能寺で襲った、
これは確定。
問題はなんで急に裏切ったかや。
怨恨やら野望やら黒幕やら言われてるけど、
決定打が一個も無いから400年以上もめてる。
同時代の一次史料が薄いのが全部の元凶やな",スレ①,9
男性E,はえ〜,スレ①,10
男性A下,一次史料薄いんか,スレ①,11>>9
女性B,そらもめるわな,スレ①,12
男性C下,"当日の流れ知りたいわ。
どうやって信長討ったん",スレ①,13>>9
女性D大,"信長な、
本能寺に小姓ら100人弱しか連れてへんかったんや。
丸腰同然。
光秀軍1万3000が早朝に囲んで終わり。
信長は弓引いて槍持って抵抗したけど肘やられて、
奥に引っ込んで火かけて自害したと太田牛一が書いとる。
享年49。
遺体は結局見つからんかった、
これも謎を盛り上げる材料や",スレ①,14
男性E,1万3000対100はもう試合にならんやろ,スレ①,15
男性A下,遺体見つからんのほんま謎,スレ①,16>>14
女性B,火事で焼けただけちゃうんか,スレ①,17
男性C下,それが現実的やとは思う,スレ①,18>>17
女性D,「敵は本能寺にあり」は言うたんか?,スレ①,19
男性E下,"あれ後世の創作な。
同時代史料に無いわ",スレ①,20>>19
男性A下,マ?めっちゃ有名なのに,スレ①,21>>19
女性B下,かっこいいのに作り話なんか,スレ①,22>>19
男性C,三日天下って言うけど実際3日ちゃうやろ,スレ①,23
女性D,11日くらいやなかったっけ,スレ①,24
男性E下,そこ知識ニキ頼む,スレ①,25>>24
男性A大,"三日天下な、
ことわざで「あっという間の権力」を指す慣用句で、
ガチで3日って意味ちゃう。
6月2日に信長討って、
山崎の戦いで秀吉に負けたのが6月13日。
だから実質11日や。
たった11日で天下取った男が転落したから「三日」と誇張された言い回しが残った",スレ①,26
女性B,11日かい,スレ①,27
男性C下,短すぎて草,スレ①,28>>26
女性D,11日でも十分短いわ,スレ①,29
男性E下,秀吉の戻りが速すぎたんよな,スレ①,30>>26
男性A,"中国大返しやろ。
あれもチート級",スレ①,31
女性B下,"秀吉、
備中高松城からめっちゃ速く戻ってきたよな。
あれ事前に知ってたから黒幕説出るんやろ",スレ①,32>>30
男性C,"秀吉黒幕説、
ワイは推せん。
速かったのは事実やが状況証拠だけや",スレ①,33
女性D下,"黒幕説、
結局全部状況証拠なんよな",スレ①,34>>33
解説者,"中国大返しとは、
1582年6月、
備中高松城で毛利氏と対陣していた羽柴秀吉が、
本能寺の変で織田信長の死を知り、
ただちに毛利と和睦して全軍を京へ取って返した強行軍である。",解説：中国大返し,1
解説者,"約10日で備中から摂津までおよそ200キロを大軍で駆け戻ったとされ、
その速さは当時として規格外であった。
秀吉はこの行軍により明智光秀が態勢を整える前に決戦へ持ち込み、
山崎の戦いで勝利を収めた。",解説：中国大返し,2
解説者,"あまりの速さゆえに、
変をあらかじめ知っていたとする秀吉黒幕説が生まれる一因にもなったのである。",解説：中国大返し,3
男性E,動機の話に戻すけど怨恨説はどうなん,スレ①,35
男性A大,"怨恨説な、
信長に折檻されたとか饗応役クビにされたとか、
家康接待でドジって叱られたとか色々ある。
けど全部「光秀が恨んでたらしい」って後世の軍記物発信や。
リアルタイムの証拠は無い。
ただ動機としては分かりやすいから江戸時代にめっちゃ広まった",スレ①,36
女性B,江戸時代の創作多すぎん?,スレ①,37
男性C下,娯楽やからな当時の,スレ①,38>>36
女性D,信長きつめの上司ではあったんやろ,スレ①,39
男性E下,ときは今〜のやつは?あれ謀反の暗示ちゃうん,スレ①,40>>36
男性A,愛宕百韻な,スレ①,41
女性B大,"愛宕百韻な。
本能寺の数日前に光秀が愛宕山で連歌会やって「ときは今 あめが下しる 五月かな」って詠んだやつ。
「とき」=土岐氏(光秀の出自)、
「あめが下しる」=天下取る、
って読めるから謀反の決意表明やと言われとる。
ただこれも後付け解釈の疑い濃いで。
普通に時候の句とも取れる",スレ①,42
男性C,言われてみればこじつけっぽい,スレ①,43
女性D下,でもロマンあるやん,スレ①,44>>42
男性E,結果知ってるから暗示に見えるだけ説,スレ①,45
男性A下,"それやな。
後出しジャンケン",スレ①,46>>45
女性B下,イエズス会黒幕説とか言うやつおったけど何なん,スレ①,47>>46
男性C下,イエズス会説な,スレ①,48>>47
女性D大,"イエズス会説は陰謀論寄りや。
信長が南蛮かぶれで宣教師重用してたから逆に消されたとか、
逆に信長が神格化しすぎて教会が危険視したとか。
けど一次史料の裏付けゼロ。
フロイスの記録にもそんな気配無い。
これはロマン枠で見とけ",スレ①,49
男性E,ロマン枠で草,スレ①,50
男性A下,陰謀論はだいたいソース無いからな,スレ①,51>>49
女性B,足利義昭黒幕説は?,スレ①,52
男性C下,"義昭な、
信長に京追放された元将軍やろ。
恨みはガチ",スレ①,53>>52
女性D大,"足利義昭黒幕説は動機だけは強い。
信長に追放された恨みあるし、
光秀は元々義昭の家臣やったし繋がりもある。
鞆の浦から指示出してた説。
ただ実行を裏で操れるほどの力が当時の義昭にあったかは怪しい。
動機はあるけど実行力が伴わんパターンやな",スレ①,54
男性E,動機はみんな持っとるのがこの事件の闇,スレ①,55
男性A下,容疑者多すぎて草,スレ①,56>>54
女性B,"家康黒幕説もあるやん。
あの時堺におったよな",スレ①,57
男性C大,"家康な、
本能寺の時まさに堺見物中で、
変の後に必死で伊賀越えして逃げ帰っとる。
黒幕なら自分が一番死にかけるルートにおったの意味不明や。
神君伊賀越えで命からがらやぞ。
これで黒幕は無理筋すぎる",スレ①,58
女性D,家康説それで終戦やん,スレ①,59
男性E下,自分が一番ピンチで草,スレ①,60>>58
男性A,四国説ってのが最近強いんやろ?,スレ①,61
女性B下,"四国説な、
長宗我部のやつ",スレ①,62>>58
男性C大,"四国説は近年わりと有力視されとる。
光秀は長宗我部元親との取次役やったんや。
信長が当初は長宗我部に四国切り取り自由を認めてたのに、
途中で方針変えて潰しにかかった。
光秀の面目丸つぶれ＆立場ヤバくなる。
石谷家文書って一次史料が2014年に出てきて信憑性上がった",スレ①,63
女性D,2014年に新史料出たんか,スレ①,64
男性E下,"石谷家文書、
わりとガチなやつやん",スレ①,65>>63
男性A下,取次役の立場潰されたらそら追い込まれるわ,スレ①,66>>63
女性B下,一次史料ベースなのがデカいな四国説,スレ①,67>>63
男性C,でもそれでも「だから謀反」までは飛躍あるよな,スレ①,68
女性D,"そこよな。
動機と実行の間に谷がある",スレ①,69
男性E下,結局決定打どれも無いんかい,スレ①,70>>68
男性A,"せやで。
だから400年もめとる",スレ①,71
女性B下,"で、
天海=光秀って話は何なん。
生きてたん?",スレ①,72>>70
男性C,出たw天海説,スレ①,73
女性D下,天海生存説すこ,スレ①,74>>72
