登場人物,セリフ,備考,番号
解説者,"縄文時代と聞くと、
「裸で狩りをする原始人」そんなイメージを持つ人も多いだろう。",冒頭,1
解説者,"だが実際の縄文人は、
虫歯がほとんどなく、
生活習慣病とも無縁で、
現代人よりよほど丈夫な体を持っていたという。",冒頭,2
解説者,"薬も病院もない一万年以上前に、
なぜ彼らはそれほど健康でいられたのだろうか？",冒頭,3
解説者,"そして私たち現代人は、
便利さと引き換えに何を失ってしまったのか。",冒頭,4
解説者,"今回は、
縄文人の健康について議論を繰り広げる、
2ちゃんねるの歴史オタクたちを見ていこう。",冒頭,5
解説者,"この動画を見れば、
縄文人が健康だった理由と、
現代人が見習うべき暮らしのヒントがきっとわかるだろう。",冒頭,6
男性A,縄文人の生活が現代人より健康すぎた件www,スレ①前半,1
女性B,"狩猟採集の原始人やのに、
調べたら虫歯ほぼゼロで生活習慣病もなし。
ワイら現代人よりよっぽど体が丈夫やったらしいんよ",スレ①前半,2
男性C下,出た縄文持ち上げスレ,スレ①前半,3>>1
女性D下,また弥生sageが始まるんか,スレ①前半,4>>1
男性E下,"いや原始人やぞ？
薬も医者もないのに健康なわけないやろ",スレ①前半,5>>2
男性A大,"それがデータ上はガチでな。
出土した縄文人の歯を調べると虫歯の率がだいたい8%前後。
農耕が広まった弥生以降のほうが倍以上に跳ね上がる。
糖質をあんまり摂らん食生活やから虫歯になりにくい",スレ①前半,6
女性B,"ファッ、
歯だけは強いんか",スレ①前半,7
男性C下,ドングリかじってたら歯も鍛えられそう,スレ①前半,8>>6
女性D下,硬いもん噛んでたから顎もエラも発達しとった,スレ①前半,9>>8
男性E下,"顎の話はほんまや。
現代人みたいに親知らずが埋まって生えるトラブルが少ない。
柔らかいもん食って顎が小さくなったのは農耕以降の人類共通の現象。
縄文人は歯並びもええんよな",スレ①前半,10>>9
男性A,"で、
肝心の寿命は？
原始人なんて30で逝ってたんやろ",スレ①前半,11
女性B下,"平均寿命15歳とか聞いたぞ。
健康(笑)やん",スレ①前半,12>>11
男性C,"その15歳ってのがカラクリや。
赤ん坊と幼児が亡くなる率が高かったから平均が下に引っ張られとるだけ。
乳幼児期を越えた大人だけ見ると、
60代70代まで生きた人骨も普通に出てくる",スレ①前半,13
女性D,なるほど平均のマジックか,スレ①前半,14
男性E下,"結局ガキはバタバタ逝ってたんやろ？
やっぱ健康ちゃうやん",スレ①前半,15>>13
男性A大,"そこは医療がない時代やから否定せん。
ただ「大人になれたら頑丈で長生き」と「現代みたいな生活習慣病でじわじわ体を壊す」のは別の話。
縄文人の人骨に糖尿病や動脈硬化の痕跡はほぼ出てこん",スレ①前半,16
女性B,生活習慣病ゼロは普通に羨ましい,スレ①前半,17
