登場人物,セリフ,備考,番号
解説者,"菅原道真と聞くと、
学問の神様、
天神様として全国の天満宮に祀られ、
受験生が合格祈願に訪れる存在、
そんなイメージを持つ人も多いだろう。
だが、
その穏やかな神様の顔の裏に、
日本史上もっとも恐れられた怨霊としての顔があったことを知る者は、
意外と少ないのである。",冒頭,1
解説者,"菅原道真は、
平安時代の八四五年に生まれた。
幼い頃から並外れた才能を見せ、
学者の家柄から異例の出世を遂げて右大臣にまで上り詰めた、
当代きっての秀才だったのである。
しかし九〇一年、
いわゆる昌泰の変によって、
その栄光は一夜にして崩れ去ることになる。",冒頭,2
解説者,"ライバルであった左大臣、
藤原時平の讒言によって、
道真は無実の罪を着せられ、
九州の大宰府へと左遷されてしまう。
家族とも引き離され、
ろくな暮らしもできぬまま、
彼は失意のうちに九〇三年、
異郷の地でその生涯を閉じたのである。
だが、
本当の物語はここから始まる。",冒頭,3
解説者,"道真の死後、
都では異変が相次いだ。
彼を陥れた者たちが次々と若くして倒れ、
九三〇年には、
清涼殿に雷が落ちて多くの公卿が死傷するという大事件が起こる。
人々はこれを道真の祟りと恐れおののき、
その怨霊は、
平将門、
崇徳天皇と並ぶ日本三大怨霊の一柱として、
後世まで語り継がれることになったのである。",冒頭,4
解説者,"恐れられた怨霊を鎮めるため、
朝廷は道真を天神として北野天満宮に祀り、
神として手厚く崇めた。
やがてその信仰は、
生前の彼の優れた学識にちなんで学問の神へと姿を変えていく。
なぜ無実の学者は最強級の怨霊となり、
そして神にまで昇りつめたのだろうか。",冒頭,5
解説者,"今回は、
菅原道真の怨霊伝説と、
その波乱の生涯について議論を繰り広げる、
2ちゃんねるの歴史オタクたちを見ていこう。
この動画を見れば、
学問の神様の知られざるもう一つの顔と、
千年を超えて語り継がれる怨霊伝説の真相が、
きっとわかるだろう。",冒頭,6
男性A,道真の祟りってマジ?日本三大怨霊で一番ガチでヤバいの道真やろ,スレ①,1
女性B下,出たw怨霊スレ,スレ①,2>>1
男性C,"将門・崇徳・道真な、
この三人や",スレ①,3
女性D,学問の神様が怨霊って字面よ,スレ①,4
