登場人物,セリフ,備考,番号
解説者,"新選組と聞くと、
「最強の剣客集団」「誠の旗を掲げた幕末のヒーロー」そんなイメージを持つ人も多いだろう。",冒頭,1
解説者,"だが、
その実態は、
敵と斬り合って果てた隊士よりも、
切腹や粛清で身内に始末された隊士の方がはるかに多い組織だった。",冒頭,2
解説者,"最強と恐れられた集団は、
なぜ外の敵ではなく、
自らの内側から崩れていったのだろうか？",冒頭,3
解説者,"今回は、
新選組について議論を繰り広げる、
2ちゃんねるの歴史オタクたちを見ていこう。",冒頭,4
解説者,"この動画を見れば、
新選組という組織の本当の姿がきっとわかるだろう。",冒頭,5
男性A,"新選組さん、
敵より味方を斬った数の方が多いｗｗｗｗｗ",スレ①前半(闇),1
女性B下,さすがにそれは盛りすぎやろ,スレ①前半(闇),2>>1
男性C下,また新選組アンチスレか,スレ①前半(闇),3>>1
女性D下,強い正義の剣客集団ちゃうんか,スレ①前半(闇),4>>1
男性E下,そのイメージが崩れる話なんよ,スレ①前半(闇),5>>4
男性A,"は？
ソースは？",スレ①前半(闇),6
女性B大,"いや実際そうやで。
鳥羽伏見の戦いより前の5年で、
新選組の中で命を落とした隊士は45人。
倒幕志士との戦闘でやられたのはたった6人。
残りはほぼ全部が切腹か粛清や。
敵と斬り合って果てた数より、
身内に始末された方が圧倒的に多い組織やった",スレ①前半(闇),7
男性C,ファッ!?45人中6人て,スレ①前半(闇),8
女性D下,草どころちゃうわ,スレ①前半(闇),9>>8
男性E下,それ集計の取り方ちゃうんか,スレ①前半(闇),10>>7
男性A大,"研究者の集計によれば、
法度違反で16人、
内部抗争で18人、
合わせて34人が身内に斬られたとも言われる。
敵に討たれたのは7人。
数え方で揺れるけど、
どっちで見ても身内を斬った数が敵の数倍なのは変わらん",スレ①前半(闇),11
女性B,内ゲバ集団やんけ,スレ①前半(闇),12
男性C下,味方の方がこわい職場で草,スレ①前半(闇),13>>12
女性D下,その元凶が局中法度やな,スレ①前半(闇),14>>13
男性E大,"局中法度のほかにも、
隊を抜けるときは仲間を見捨てて自分だけ生き延びるな、
みたいな条項まであったと伝わる。
要は逃げ場を塞ぐ作りや。
一度入ったら抜けられん、
抜けたら追われる。
その構造そのものが内部の犠牲を増やす土壌になっとった",スレ①前半(闇),15
男性A,局中法度て読み方むずいわ,スレ①前半(闇),16
女性B,"きょくちゅうはっとや。
脱走するな、
勝手に金策するな、
私闘するな、
みたいな掟やな。
破ったら基本は切腹。
武士の本場でもここまで厳しい組はそうそう無かった",スレ①前半(闇),17
女性B,"ただこの法度な、
成立した時期も条文の正確な文言も諸説あって、
確かな原本は残ってないとも言われとる。
後の世に整理されて、
ちょっと盛られた可能性も指摘されとるくらい",スレ①前半(闇),18
男性C,原本すら無いんかい,スレ①前半(闇),19
女性D下,掟が伝説化してるの草,スレ①前半(闇),20>>19
解説者,"局中法度とは、
新選組の隊士を厳しく縛った隊の掟である。",解説：局中法度,1
解説者,"私的な争いや勝手な金策、
隊からの脱走などを固く禁じ、
破った者には切腹が命じられたと伝わる。",解説：局中法度,2
解説者,"逃げ場を塞ぐその構造が、
内部の犠牲を増やす土壌になったとされる。",解説：局中法度,3
解説者,"ただし、
正確な条文や成立した時期には諸説あり、
確かな原本は残っていないとも言われている。",解説：局中法度,4
男性E,"一番有名な犠牲者が山南敬助。
総長まで務めた幹部やのに、
脱走したってことで切腹させられた",スレ①前半(闇),21
男性A,幹部でも容赦ないんか,スレ①前半(闇),22
女性B,"切腹のとき介錯したのが、
かわいがってた沖田総司やったって伝わってる。
ここが新選組の悲劇エピソードの定番やな。
読みは「さんなん」が通用しとるけど「やまなみ」説もあるで",スレ①前半(闇),23
男性C,介錯が沖田は重い話やな,スレ①前半(闇),24
女性D,でも掟破ったら切腹は武士なら普通ちゃうの,スレ①前半(闇),25
男性E下,"普通の藩なら閉門とか蟄居で済むことも多いんよ。
新選組は基準が厳しすぎた。
とにかく「抜けたい」と思った時点で詰み。
入ったら最後まで走るしかない地獄の組織やった",スレ①前半(闇),26>>25
男性A,はえ〜抜けたら終わりか,スレ①前半(闇),27
女性B下,ブラック企業の元祖やん,スレ①前半(闇),28>>27
男性C,退職届出したら切腹はやばいて,スレ①前半(闇),29
女性D,"もっと生々しいのが芹沢鴨や。
新選組の初代局長格やったおっさんが、
近藤勇らに寝込みを襲われて闇に葬られとる",スレ①前半(闇),30
男性E,初代局長が消されるて,スレ①前半(闇),31
