No,日付,借方科目,借方金額,貸方科目,貸方金額,摘要,出所
1,2026-01-01,普通預金(GMOあおぞら),4,事業主借,4,普通預金利息（個人帰属）,銀行明細
2,2026-01-10,車両費,3245,普通預金(GMOあおぞら),3245,ガソリン代（アポロステーション）,銀行明細
3,2026-01-13,普通預金(GMOあおぞら),41260,売上高,41260,Uber Eats 売上入金,銀行明細
4,2026-01-14,普通預金(GMOあおぞら),5000,事業主借,5000,ATM入金（個人資金の繰入）,銀行明細
5,2026-01-14,事業主貸,50000,普通預金(GMOあおぞら),50000,第四北越銀行（個人口座）への資金移動,銀行明細
6,2026-01-14,事業主貸,3000,普通預金(GMOあおぞら),3000,ATM出金（個人使用）,銀行明細
7,2026-01-20,普通預金(GMOあおぞら),47643,売上高,47643,Uber Eats 売上入金,銀行明細
8,2026-01-20,事業主貸,10000,普通預金(GMOあおぞら),10000,ATM出金（個人使用）,銀行明細
9,2026-01-20,事業主貸,110,普通預金(GMOあおぞら),110,ATM手数料（私的出金に伴う）,銀行明細
10,2026-01-21,普通預金(GMOあおぞら),6,雑収入,6,VISAデビット キャッシュバック,銀行明細
11,2026-01-22,普通預金(GMOあおぞら),2609,売上高,2609,出前館 売上入金,銀行明細
12,2026-01-27,事業主貸,40000,普通預金(GMOあおぞら),40000,ATM出金（個人使用）,銀行明細
13,2026-01-27,事業主貸,110,普通預金(GMOあおぞら),110,ATM手数料（私的出金に伴う）,銀行明細
14,2026-01-27,普通預金(GMOあおぞら),24155,売上高,24155,Uber Eats 売上入金,銀行明細
15,2026-01-27,研修費,2980,普通預金(GMOあおぞら),2980,Brain教材,銀行明細
16,2026-02-01,普通預金(GMOあおぞら),3,事業主借,3,普通預金利息（個人帰属）,銀行明細
17,2026-02-03,短期貸付金,21000,普通預金(GMOあおぞら),21000,（株）コロコロへの貸付,銀行明細
18,2026-02-03,普通預金(GMOあおぞら),20850,売上高,20850,Uber Eats 売上入金,銀行明細
19,2026-02-04,研修費,14800,普通預金(GMOあおぞら),14800,Brain教材,銀行明細
20,2026-02-04,短期貸付金,6000,普通預金(GMOあおぞら),6000,（株）コロコロへの貸付,銀行明細
21,2026-02-10,普通預金(GMOあおぞら),25326,売上高,25326,Uber Eats 売上入金,銀行明細
22,2026-02-10,短期貸付金,25900,普通預金(GMOあおぞら),25900,（株）コロコロへの貸付,銀行明細
23,2026-02-13,普通預金(GMOあおぞら),1000,事業主借,1000,ATM入金（個人資金の繰入）,銀行明細
24,2026-02-13,通信費,790,普通預金(GMOあおぞら),790,ニコニコプレミアム,銀行明細
25,2026-02-16,普通預金(GMOあおぞら),14,売上高,14,Google AdSense（YouTube）売上入金,銀行明細
26,2026-02-17,普通預金(GMOあおぞら),33084,売上高,33084,Uber Eats 売上入金,銀行明細
27,2026-02-17,研修費,1480,普通預金(GMOあおぞら),1480,Brain教材,銀行明細
28,2026-02-22,事業主貸,2000,普通預金(GMOあおぞら),2000,ATM出金（個人使用）,銀行明細
29,2026-02-23,車両費,3631,普通預金(GMOあおぞら),3631,ガソリン代（ENEOS）,銀行明細
30,2026-02-24,普通預金(GMOあおぞら),37,雑収入,37,VISAデビット キャッシュバック,銀行明細
31,2026-02-24,普通預金(GMOあおぞら),54252,売上高,54252,Uber Eats 売上入金,銀行明細
32,2026-02-24,事業主貸,6000,普通預金(GMOあおぞら),6000,PayPayチャージ,銀行明細
