登場人物,セリフ,備考,番号
解説者,"忠臣蔵と聞くと、主君の無念を晴らした感動の仇討ち、
忠義の美談、そんなイメージを持つ人も多いだろう。",冒頭,1
解説者,"だが、その引き金となった松の廊下の刃傷事件は、
浅野が動機を一言も語らぬまま即日切腹となり、
本当の理由は今も分かっていない。",冒頭,2
解説者,"さらに、私たちが知る「いじめ」や「賄賂」の物語は、
事件の半世紀後に作られた芝居の創作色が濃いという。",冒頭,3
解説者,"果たして、忠臣蔵は本当に語られる通りの
美談だったのだろうか？",冒頭,4
解説者,"今回は、忠臣蔵の真実について議論を繰り広げる、
2ちゃんねるの歴史オタクたちを見ていこう。",冒頭,5
解説者,"この動画を見れば、教科書や時代劇では語られない
赤穂事件の本当の姿が、きっとわかるだろう。",冒頭,6
男性A大,吉良さん「急に斬りかかられたんですけど」赤穂浪士「は？」,スレ①（前半）,1
女性B,始まったか,スレ①（前半）,2
男性C,12月の風物詩,スレ①（前半）,3
男性D,忠臣蔵か、ええで,スレ①（前半）,4
男性E,言うほどええ話か、ただの逆恨みやろ,スレ①（前半）,5
男性A,出た逆張りｗ,スレ①（前半）,6
女性B,松の廊下から説明してくれや,スレ①（前半）,7
男性C,松の廊下ってなんやっけ,スレ①（前半）,8
男性D下,江戸城の中の有名な廊下や。元禄14年の3月14日、赤穂藩主の浅野内匠頭がそこで吉良上野介に斬りかかった刃傷沙汰やな。しかもその日は朝廷の使者をもてなす大事な式の真っ最中で、間の悪さが尋常やなかった,スレ①（前半）,9
男性E,場所も日も悪すぎて草,スレ①（前半）,10
男性A,で、なんで斬ったん,スレ①（前半）,11
女性B下,ここがこの事件の最大の謎。浅野は「遺恨がある」とだけ言い残して、肝心の理由を一切説明せんまま即日切腹になった。本当の動機は今も不明のまま。後世が好き勝手に埋めただけ,スレ①（前半）,12
男性C,動機わからんのに英雄譚になってるんか,スレ①（前半）,13
男性D,いや吉良が賄賂ケチられていびったんやろ、有名な話やん,スレ①（前半）,14
男性E下,その賄賂といじめの筋な、確かな同時代の記録にはほぼ出てこん。浅野が持病で気が立ってた説とか諸説あるけど、どれも決め手なし。いびり説は後の作り話の色が濃い,スレ①（前半）,15
男性A,マ？じゃあ何を信じたらええんや,スレ①（前半）,16
女性B,作り話てどういうことや,スレ①（前半）,17
