解説者,"坂本龍馬と聞くと、
「幕末のヒーロー」「時代を変えた風雲児」そんなイメージを持つ人も多いだろう。"
解説者,"だが、その功績をよく調べると「結局この人は何をしたんだ？」と
評価が真っ二つに割れる人物でもある。"
解説者,"しかも龍馬は維新を見ることなく、
京都の近江屋で何者かに斬られ、
志半ばで世を去っている。"
解説者,"果たして龍馬は過大評価なのか、
そして彼を斬らせた黒幕は一体誰だったのだろうか？"
解説者,"今回は、坂本龍馬について議論を繰り広げる、
2ちゃんねるの歴史オタクたちを見ていこう。"
解説者,"この動画を見れば、
龍馬の本当の実力と暗殺の黒幕の正体がきっとわかるだろう。"
男性A,"坂本龍馬って過大評価されてるけど、
結局何した人なん？"
女性B,"煽りやなくてマジで聞きたいんや。
薩長同盟も船中八策も大政奉還も、
よう調べたら本人が決めたことなくない？"
男性C下,出た過大評価スレ
女性D下,また龍馬アンチか
男性E下,"いや一理あるやろ。
教科書で偉人扱いやのに何したか言える奴おらんやん"
男性A下,薩長同盟繋いだだけで十分すごいわ
女性B,洗濯したかったんやろ（適当）
男性C下,"薩長同盟って西郷と桂が決めたんちゃうの。
龍馬は手紙届けた人ってイメージあるわ"
女性D下,その手紙届けるのが命がけの時代やぞ
男性E下,"マジレスすると薩長同盟の実務交渉は西郷隆盛と桂小五郎や。
龍馬と中岡慎太郎は両者を引き合わせた仲介役やな"
男性A,"成立のあとに桂が「内容を裏書きしてくれ」と龍馬に頼んだ話も残ってる。
ただの伝令ではないわな"
女性B下,ほら仲介役やんｗ
男性C下,"いや待てや。
その仲介が無かったら薩摩と長州は禁門の変の遺恨で一生組めんかったぞ"
女性D,膳立てした奴を「ただの連絡係」で切るのは雑すぎる
男性E下,で？それ龍馬がやった証拠あるん
男性A下,"桂直筆の裏書きが現物で残っとる。
これは動かん"
女性B,"何したか言えん問題は、
龍馬の功績が「繋ぐ・動く・煽る」みたいな形のないもんやからやろな。
城を建てた攻めた取ったみたいな分かりやすい武功がそもそも無い"
男性C下,"逆に言うと、
目に見えん根回しと行動力だけで歴史の流れに噛んだ珍しいタイプや。
そこを買うか過大と見るかでスレが毎回割れるわな"
女性D,"龍馬は新政府の人事案に西郷や大久保の名前を並べながら、
自分の名前は入れてないんよな。
役職に興味ない感じが逆にカリスマとして後世に刺さった面もある"
男性E,"あと船中八策な。
龍馬が船で考えた新国家の八カ条って習うけど、
近年は後世の創作説が有力なんや"
男性A,"原本も写本も見つからん。
当時「船中八策」て呼び名自体が史料に出てこん。
教科書の削減候補にも挙がっとる"
女性B下,"ファッ！？
習ったぞ"
男性C,義務教育の敗北ｗ
解説者,"船中八策とは、慶応3年、
坂本龍馬が長崎から京へ向かう船の中で構想したとされる新国家の基本方針である。"
解説者,"大政奉還や議会の設置など八カ条からなる先進的な内容で、
明治維新の青写真とも語られてきた。"
解説者,"しかし近年は、
当時の史料に「船中八策」という呼び名も原本も見当たらず、
後世に作られた創作ではないかとする説が有力になっている。"
女性D,"龍馬の英雄イメージて大半は司馬遼太郎の「竜馬がゆく」産やからな。
明治のころは正直そこまで知られてへん"
男性E,"日露戦争の直前に皇后の夢枕へ龍馬が立ったて新聞記事が出て、
そこから一気に再ブレイクした"
男性A下,"それまで龍馬はほぼ忘れられてた。
戦後に小説で国民的ヒーロー化して、
実像と小説のキャラは別物やで"
女性B,信者乙
男性C,"小説の人気やん。
実績ちゃうやん"
女性D下,"海援隊は普通に評価したれや。
脱藩浪士が貿易商社こさえて、
船で武器も米も動かした男やぞ"
男性E,"いろは丸が紀州の船とぶつかった時は万国公法持ち出して賠償金ふんだくった。
あの立ち回りできる浪人おらん"
男性A下,"でも賠償金めっちゃ盛ったって聞いたで。
そこはええんか"
女性B下,"交渉力でもあり盛りすぎでもありやな。
実際の積荷より多う請求した疑いはずっと言われてる"
男性C下,"海援隊は長崎のグラバー商会から武器を仕入れる中継ぎもやって、
薩摩や長州に最新のミニエー銃を流した。
倒幕側に火力を供給した黒衣としては地味にデカい仕事やった"
解説者,"亀山社中とは、慶応元年、
坂本龍馬らが長崎で結成した貿易と海運の結社で、
日本初の商社の一つとも言われる組織である。"
解説者,"薩摩や長州の資金を背景に、
外国商人から仕入れた武器や物資を運ぶ中継ぎ役を担った。"
解説者,"後に土佐藩の支援を受けて海援隊へと発展し、
航海・貿易・開拓を掲げて活動したが、
龍馬の没後まもなく解散した。"
女性D,"龍馬は元々勝海舟の弟子で、
神戸の海軍操練所で航海術を学んだ口や"
男性E,斬りにいったのに弟子になったて逸話すこｗ
男性A下,"勝に付いて海軍を学んだのがデカい。
当時「日本も海軍持って交易せな列強に呑まれる」て発想を持てた武士は少数派や。
実行は別として目の付け所はようできた方やと思う"
