登場人物,セリフ,備考,番号
解説者,"豊臣秀長と聞くと、
多くの人はまず「秀吉の弟」という印象を持つだろう。",冒頭,1
解説者,"だが、
その一言だけで片づけるには、
この人物はあまりにも政権の中枢に深く関わっていた。",冒頭,2
解説者,"四国攻めでは秀吉の名代として大軍をまとめ、
九州平定でも日向方面の総大将として島津と向き合い、
大和郡山を本拠におよそ110万石を治めた。",冒頭,3
解説者,"さらに、
諸大名との取り次ぎや政務の窓口としても重く見られ、
「公儀は秀長」と言われるほど、
豊臣政権の実務を支えた存在だった。",冒頭,4
解説者,"それなのに、
派手な逸話が少ないせいで、
今でも「結局何をした人？
」と扱われがちである。",冒頭,5
解説者,"今回は、
豊臣秀長という地味に見えるNo.2について議論する、
2ちゃんねるの歴史オタクたちを見ていこう。",冒頭,6
男性A,豊臣秀長って秀吉の弟ってこと以外なにした人なん？,スレ①秀長は何をした人か,1
女性B下,"わかる、
名前は知ってるけど中身が薄い",スレ①秀長は何をした人か,2>>1
男性C下,大河で急に推され始めた枠やろ,スレ①秀長は何をした人か,3>>1
女性D下,地味すぎて逆に気になる,スレ①秀長は何をした人か,4>>1
男性E,"秀吉の隣にいた優しい弟、
くらいの認識しかないんやが",スレ①秀長は何をした人か,5
男性A下,"その認識が一番ありがちやな。
派手な合戦の主役でもないし、
信長みたいな名言芸も少ない。
教科書でもだいたい秀吉の補佐役で流されるから、
何をしたか説明できる人が少ない",スレ①秀長は何をした人か,6>>5
女性B下,"何した人？
って聞かれると止まるやつ",スレ①秀長は何をした人か,7>>6
男性C,秀吉の弟ってだけで出世したんちゃうの,スレ①秀長は何をした人か,8>>1
女性D大,"兄弟枠で引き上げられた面はある。
ただしそれだけで大和大納言まで行けるほど甘くはない。
秀吉の身内で信用できて、
大軍を任せられて、
大名同士の間に立てる人材が少なかったから重く使われた",スレ①秀長は何をした人か,9
男性E,身内ってだけで天下レベルの仕事振られるの怖い,スレ①秀長は何をした人か,10
男性A下,信長でいうところの弟ポジなら信勝みたいな事故もあるしな,スレ①秀長は何をした人か,11>>8
女性B,そもそも秀長って名前が地味やねん,スレ①秀長は何をした人か,12>>1
男性C,"最初は木下小一郎とか羽柴秀長やからな。
秀吉の弟として生まれて、
最終的には従二位権大納言。
官位だけ見ると普通に豊臣政権の頂点側や",スレ①秀長は何をした人か,13
女性D下,権大納言ってどのくらいすごいん,スレ①秀長は何をした人か,14>>13
男性E下,"雑に言えば朝廷の上級官職。
秀長は大和郡山城を本拠にして、
大和・紀伊・和泉あたりを押さえた約110万石級の大名になった。
石高で見てもただの弟では済まん規模",スレ①秀長は何をした人か,15>>14
男性A下,110万石って急に数字が強い,スレ①秀長は何をした人か,16>>15
女性B下,家康クラスと比べられるって聞いたことある,スレ①秀長は何をした人か,17>>15
男性C下,"そこは時期や数え方に注意やけど、
少なくとも前期豊臣政権で別格の大身やったのは確かや。
秀吉の親族で、
畿内に近い大和を任されてる時点で重要度が高い",スレ①秀長は何をした人か,18>>17
解説者,"豊臣秀長は、
最終的に従二位・権大納言まで進み、
「大和大納言」と呼ばれるほどの地位に立った。",解説：大和大納言と110万石,1
解説者,"本拠は大和郡山城。
大和・紀伊・和泉などを治め、
その規模はおよそ110万石級とされる。",解説：大和大納言と110万石,2
解説者,"これは、
単なる「秀吉の弟」という扱いを超えて、
豊臣政権の中で別格の重みを持っていたことを示している。",解説：大和大納言と110万石,3
解説者,"とくに大和は、
古くからの寺社勢力や国衆が入り組む難しい土地だった。
そこを任されたこと自体が、
秀長への信頼の大きさを物語っている。",解説：大和大納言と110万石,4
女性D下,なのに知名度が「秀吉の弟」止まりなのかわいそう,スレ①秀長は何をした人か,19>>18
男性E下,なんでそんなに影薄いんや,スレ①秀長は何をした人か,20>>19
男性A,"派手な逸話がないからやろ。
信長なら本能寺、
秀吉なら中国大返し、
家康なら関ヶ原。
秀長は「調整しました」「取り次ぎました」「統治しました」やから動画映えしにくい",スレ①秀長は何をした人か,21
女性B下,調整役って言われると会社の中間管理職みたいで草,スレ①秀長は何をした人か,22>>21
男性C大,"ただ、
その中間管理職がいないと組織は普通に崩れる。
秀吉は一代で急拡大した政権やから、
外様も旧織田家臣も寺社も朝廷も全部混ざる。
そこで兄の勢いと周囲の不満の間に入れる人物が必要やった",スレ①秀長は何をした人か,23
女性D,秀吉本人がクセ強すぎるからな,スレ①秀長は何をした人か,24
男性E下,秀吉を止められた唯一の男みたいな言い方されるけどほんまなん？,スレ①秀長は何をした人か,25>>23
男性A下,"「唯一」と断言すると盛りすぎやけど、
秀吉に意見できる身内として重かったのは確かやな。
少なくとも秀長が健在な時期の豊臣政権は、
後年よりまだ大名との調整が効いていたと見る人は多い",スレ①秀長は何をした人か,26>>25
女性B下,亡くなったあと利休とか秀次の件で空気変わるやつか,スレ①秀長は何をした人か,27>>26
男性C下,"そういう見方はある。
ただ「秀長がいなくなったから全部起きた」は単純化しすぎ。
むしろ秀長がいた頃は、
利休や大名たちとの間を取り持つ窓口がまだ機能していた、
くらいに見るのが無難や",スレ①秀長は何をした人か,28>>27
女性D下,歴史って全部一人のせいにしたがるよな,スレ①秀長は何をした人か,29>>28
男性E下,"で、
若い頃は何してたん",スレ①秀長は何をした人か,30>>29
男性A,"秀吉が織田家中で伸びていく過程で、
秀長も兄の家中に入って補佐した。
細かい前半生は史料が薄いけど、
但馬や播磨方面、
のちの中国攻め周辺で実務を積んでいったとされる",スレ①秀長は何をした人か,31
女性B下,史料薄いと急に語りにくいな,スレ①秀長は何をした人か,32>>31
男性C下,だから漫画とかだと便利な優しい弟にされがち,スレ①秀長は何をした人か,33>>32
女性D下,"優しい弟キャラ、
便利すぎ問題",スレ①秀長は何をした人か,34>>33
男性E,"ただ優しいだけなら軍事任されん。
四国攻めでは秀吉本人の代わりに総大将格として渡海して、
長宗我部元親を降伏に持っていった。
ここ普通に大仕事や",スレ①秀長は何をした人か,35
男性A下,四国攻めって秀長メインなんか,スレ①秀長は何をした人か,36>>35
女性B大,"秀吉が病で出られなくなったから、
名代として秀長が総大将を務めたとされる。
長宗我部を相手に、
織田・豊臣系の大軍をまとめて動かす役や。
弟だから横にいた、
ではなく兄の代理で戦線を任された",スレ①秀長は何をした人か,37
解説者,"四国攻めは、
天正13年、
1585年に行われた、
長宗我部元親を相手にした大規模な遠征である。",解説：四国攻めと長宗我部元親,1
解説者,"このとき秀吉は病のため自ら出陣せず、
弟の秀長が名代として総大将を務めたとされる。",解説：四国攻めと長宗我部元親,2
解説者,"秀長は大軍をまとめて四国へ渡り、
最終的に長宗我部元親を降伏へ追い込んだ。",解説：四国攻めと長宗我部元親,3
解説者,"ここで重要なのは、
単に勝ったことだけではない。
降伏条件をまとめ、
戦後に四国を豊臣政権へ組み込むところまでが仕事だった。
秀長は軍事だけでなく、
戦後処理の実務でも大きな役割を果たした。",解説：四国攻めと長宗我部元親,4
男性C,急に有能感出てきた,スレ①秀長は何をした人か,38
女性D下,でも結局秀吉の看板が強かっただけやろ,スレ①秀長は何をした人か,39>>38
男性E大,"看板が強いのはその通り。
ただ看板を背負って現場で折衝する人間が失敗したら、
その看板ごと傷つく。
相手に降伏条件を飲ませて、
味方の諸将をまとめて、
戦後処理まで走らせるのは普通に難しい",スレ①秀長は何をした人か,40
男性A,地味な仕事ほど失敗したときだけ目立つやつや,スレ①秀長は何をした人か,41
女性B下,仕事できる人ほど何も起きてないように見える理論,スレ①秀長は何をした人か,42>>41
男性C,"それが秀長の損してるところやな。
成功すると「秀吉すごい」になり、
失敗してないから秀長個人の見せ場が残りにくい。
実務屋の功績って派手な一撃より記録に沈みがち",スレ①秀長は何をした人か,43
女性D下,じゃあ過小評価されてるって話はわかる,スレ①秀長は何をした人か,44>>43
男性E下,大河で主役になるまで掘られなかったのも納得,スレ①秀長は何をした人か,45>>44
男性A下,でも「最強のNo.2」はちょっと盛ってない？,スレ①秀長は何をした人か,46>>45
女性B下,"キャッチコピーとしては盛り気味。
ただ、
豊臣政権のNo.2候補として秀長を置くのは自然や。
官位・石高・軍事指揮・大名調整の全部を持っていた。
三成みたいな奉行型とは役割が違う",スレ①秀長は何をした人か,47>>46
男性C下,三成より上なん？,スレ①秀長は何をした人か,48>>47
女性D下,"時期が違うし単純比較は危ない。
ただ秀長存命中の三成はまだ若い実務官僚側や。
秀長は秀吉の身内で、
軍事も統治も外交も背負う重し。
政権内での重さは別物やと思う",スレ①秀長は何をした人か,49>>48
男性E下,"なるほど、
三成は事務局、
秀長は副社長みたいな感じか",スレ①秀長は何をした人か,50>>49
男性A下,副社長なのに知名度が低すぎる,スレ①秀長は何をした人か,51>>50
女性B下,"秀吉の弟というより、
秀吉政権の安全装置ってことか",スレ①秀長は何をした人か,52>>51
男性C大,"その表現はかなり近い。
秀吉の勢いで広がった政権に、
現場で摩擦を吸収する安全装置が必要やった。
秀長はそこを担ったから目立たない。
目立たないのに、
いなくなると存在感が逆に見えるタイプ",スレ①秀長は何をした人か,53
女性D,"なんというか、
会社辞めてから有能だったと気づく上司やな",スレ①秀長は何をした人か,54
男性E下,歴史の見方が急に現代の職場になるの草,スレ①秀長は何をした人か,55>>54
男性A下,でも四国以外にも軍事実績あるんか,スレ①秀長は何をした人か,56>>55
女性B,"ある。
九州平定では日向方面の総大将として動いて、
根白坂の戦いで島津方を食い止める側に回った。
これも秀吉政権の全国統一に直結する大仕事や",スレ①秀長は何をした人か,57
男性C下,島津相手は普通に怖い,スレ①秀長は何をした人か,58>>57
女性D下,島津の退き口とかのイメージで強そう,スレ①秀長は何をした人か,59>>58
男性E,"島津は強敵やからな。
根白坂では豊臣方の砦を固めて、
島津の夜襲を受け止めた。
秀長本人が槍を振り回した武勇伝というより、
総大将として布陣と支援で勝ちを作ったタイプや",スレ①秀長は何をした人か,60
男性A下,ここまで聞くと地味どころかだいぶ重要人物やん,スレ①秀長は何をした人か,61>>60
女性B下,ワイが知らんだけやったわ,スレ①秀長は何をした人か,62>>61
男性C下,"結局「何した人？
」への答えはなんなん",スレ①秀長は何をした人か,63>>62
女性D,"秀吉の横で政権を回すために、
軍事・統治・大名調整を全部やった人、
やな",スレ①秀長は何をした人か,64
男性E,"それでええと思う。
派手な一発芸の人ではない。
四国、
九州、
大和支配、
諸大名の取り次ぎ。
全部つなげると、
秀吉の成功を現場で成立させた人になる",スレ①秀長は何をした人か,65
男性A下,"「何した人？
」って軽く聞いたら回答が重すぎた",スレ①秀長は何をした人か,66>>65
女性B下,"地味やなくて、
地味に見える場所で全部やってたんやな",スレ①秀長は何をした人か,67>>66
男性C下,これ後半は具体的な仕事を一個ずつ見た方がええな,スレ①秀長は何をした人か,68>>67
女性D下,ほな調整役の中身を掘ろうや,スレ①秀長は何をした人か,69>>68
男性E下,"ワイ、
秀長をただの弟扱いしてたの反省",スレ①秀長は何をした人か,70>>69
男性A下,こういう過小評価枠が一番おもろい,スレ①秀長は何をした人か,71>>70
女性B下,ワイも仕事で評価されないから秀長に感情移入してきた,スレ①秀長は何をした人か,72>>71
解説者,"ここまでは、
豊臣秀長が「秀吉の弟」という肩書きだけで見られがちで、
実際には四国攻めや九州平定、
大和支配まで担った重要人物だった、
という議論を見てきた。",前置き,1
解説者,"しかし、
本当に面白いのはここからである。",前置き,2
解説者,"「調整役」と一言で言っても、
具体的には何をどう調整していたのか。
なぜ秀長がいた頃の豊臣政権は、
まだ大名たちとの間に一定の安定を保てたのか。",前置き,3
解説者,"その中身を追うと、
秀長がただの優しい弟ではなく、
豊臣政権の現場を回すための重要な窓口だったことが見えてくる。",前置き,4
解説者,"引き続き、
2ちゃんねるの歴史オタクたちの議論を見ていこう。",前置き,5
男性A,豊臣秀長の調整役って具体的になにしてたんや,スレ②調整役の中身,1
女性B下,前半で有能そうなのは分かった,スレ②調整役の中身,2>>1
男性C下,調整役って言葉がふわっとしすぎや,スレ②調整役の中身,3>>1
女性D下,具体例ないとただのいい人扱いで終わる,スレ②調整役の中身,4>>3
男性E,"まず四国攻めやろ。
長宗我部元親を相手に、
秀吉の名代として大軍をまとめた",スレ②調整役の中身,5
男性A下,長宗我部って四国の覇者みたいな人やんな,スレ②調整役の中身,6>>5
女性B大,"せや。
元親は土佐から四国を広げた大物。
秀吉側は大軍で圧力をかけたけど、
現場で講和と戦後処理まで回すのが秀長の仕事やった。
単に数で押しただけやなく、
降伏後の領地整理まで含めて政権の意思を通す必要があった",スレ②調整役の中身,7
